=,&equals;
\imath,&inodot;
\jmath,&jnodot;
\nexists,&nexist;
\circledS,&oS;
\hbar,&planck;
\re,&real;
\Re,&real;
\smallsetminus,&sbsol;
{'},&vprime;
\wp,&weierp;
\amalg,&amalg;
\doublebarwedge,&Barwed;
\barwedge,&barwed;
\Cap,&Cap;
\Cup,&Cup;
\curlyvee,&cuvee;
\curlywedge,&cuwed;
\diamond,&diam;
\divideontimes,&divonx;
\intercal,&intcal;
\leftthreetimes,&lthree;
\ltimes,&ltimes;
\boxminus,&minusb;
\circledast,&oast;
\circledcirc,&ocir;
\circleddash,&odash;
\odot,&odot;
\ominus,&ominus;
\oplus,&oplus;
\oslash,&osol;
\otimes,&otimes;
\boxplus,&plusb;
\dotplus,&plusdo;
\rightthreetimes,&rthree;
\rtimes,&rtimes;
\cdot,&sdot;
\boxdot,&sdotb;
\setminus,&setmn;
\sqcap,&sqcap;
\sqcup,&sqcup;
\smallsetminus,&ssetmn;
\star,&sstarf;
\boxtimes,&timesb;
\top,&top;
\uplus,&uplus;
\wr,&wreath;
\bigcirc,&xcirc;
\bigtriangledown,&xdtri;
\bigtriangleup,&xutri;
\coprod,&coprod;
\prod,&prod;
\sum,&sum;
\approxeq,&ape;
\asymp,&asymp;
\backcong,&bcong;
\backepsilon,&bepsi;
\bowtie,&bowtie;
\backsim,&bsim;
\backsimeq,&bsime;
\Bumpeq,&bump;
\bumpeq,&bumpe;
\circeq,&cire;
:=,&colone;
\curlyeqprec,&cuepr;
\curlyeqsucc,&cuesc;
\preccurlyeq,&cupre;
\dashv,&dashv;
\eqcirc,&ecir;
=:,&ecolon;
\doteqdot,&eDot;
\doteq,&esdot;
\fallingdotseq,&efDot;
\eqslantgtr,&egs;
\eqslantless,&els;
\risingdotseq,&erDot;
\pitchfork,&fork;
\frown,&frown;
\gtrapprox,&gap;
\gtrdot,&gsdot;
\geqq,&gE;
\gtreqless,&gel;
\gtreqqless,&gEl;
\geqslant,&ges;
\ggg,&Gg;
\gtrless,&gl;
\gtrsim,&gsim;
\gg,&Gt;
\lessapprox,&lap;
\lessdot,&ldot;
\leqq,&lE;
\lesseqqgtr,&lEg;
\lesseqgtr,&leg;
\leqslant,&les;
\lessgtr,&lg;
\lll,&Ll;
\lesssim,&lsim;
\ll,&Lt;
\trianglelefteq,&ltrie;
\mid,&mid;
\models,&models;
\prec,&pr;
\precapprox,&prap;
\preceq,&pre;
\precsim,&prsim;
\trianglerighteq,&rtrie;
\smallamalg,&samalg;
\succ,&sc;
\succapprox,&scap;
\succcurlyeq,&sccue;
\succeq,&sce;
\succsim,&scsim;
\smallfrown,&sfrown;
\shortmid,&smid;
\smile,&smile;
\shortparallel,&spar;
\sqsubset,&sqsub;
\sqsubseteq,&sqsube;
\sqsupset,&sqsup;
\sqsupseteq,&sqsupe;
\smallsmile,&ssmile;
\Subset,&Sub;
\subseteqq,&subE;
\Supset,&Sup;
\supseteqq,&supE;
\thickapprox,&thkap;
\thicksim,&thksim;
\triangleq,&trie;
\between,&twixt;
\vdash,&vdash;
\Vdash,&Vdash;
\vDash,&vDash;
\veebar,&veebar;
\vartriangleleft,&vltri;
\varpropto,&vprop;
\vartriangleright,&vrtri;
\Vvdash,&Vvdash;
\gnapprox,&gnap;
\gneq,&gne;
\gneqq,&gnE;
\gnsim,&gnsim;
\gvertneqq,&gvnE;
\lnapprox,&lnap;
\lneqq,&lnE;
\lneq,&lne;
\lnsim,&lnsim;
\lvertneqq,&lvnE;
\not\approx,&nap;
\not\cong,&ncong;
\not\equiv,&nequiv;
\ngeqq,&ngE;
\not\geq,&nge;
\ngeqslant,&nges;
\not>,&ngt;
\not\leq,&nle;
\nleqq,&nlE;
\nleqslant,&nles;
\not<,&nlt;
\ntriangleleft,&nltri;
\ntrianglelefteq,&nltrie;
\nmid,&nmid;
\nparallel,&npar;
\not\prec,&npr;
\not\preceq,&npre;
\ntriangleright,&nrtri;
\ntrianglerighteq,&nrtrie;
\not\succ,&nsc;
\not\succeq,&nsce;
\not\sim,&nsim;
\not\simeq,&nsime;
\nshortmid,&nsmid;
\nshortparallel,&nspar;
\not\subset,&nsub;
\not\subseteq,&nsube;
\nsubseteqq,&nsubE;
\not\supset,&nsup;
\nsupseteqq,&nsupE;
\not\supseteq,&nsupe;
\nvdash,&nvdash;
\nvDash,&nvDash;
\nVDash,&nVDash;
\nVdash,&nVdash;
\precnapprox,&prnap;
\precneqq,&prnE;
\precnsim,&prnsim;
\succnapprox,&scnap;
\succneqq,&scnE;
\succnsim,&scnsim;
\subsetneq,&subne;
\subsetneqq,&subnE;
\supsetneq,&supne;
\supsetneqq,&supnE;
\varsubsetneqq,&vsubnE;
\varsubsetneq,&vsubne;
\varsupsetneq,&vsupne;
\varsupsetneqq,&vsupnE;
\curvearrowleft,&cularr;
\curvearrowright,&curarr;
\Downarrow,&dArr;
\downdownarrows,&darr2;
\downharpoonleft,&dharl;
\downharpoonright,&dharr;
\Lleftarrow,&lAarr;
\twoheadleftarrow,&Larr;
\leftleftarrows,&larr2;
\hookleftarrow,&larrhk;
\looparrowleft,&larrlp;
\leftarrowtail,&larrtl;
\leftharpoondown,&lhard;
\leftharpoonup,&lharu;
\Leftrightarrow,&hArr;
\leftrightarrow,&harr;
\leftrightarrows,&lrarr2;
\rightleftarrows,&rlarr2;
\leftrightsquigarrow,&harrw;
\rightleftharpoons,&rlhar2;
\leftrightharpoons,&lrhar2;
\Lsh,&lsh;
\mapsto,&map;
\multimap,&mumap;
\nearrow,&nearr;
\nLeftarrow,&nlArr;
\nleftarrow,&nlarr;
\nLeftrightarrow,&nhArr;
\nleftrightarrow,&nharr;
\nrightarrow,&nrarr;
\nRightarrow,&nrArr;
\nwarrow,&nwarr;
\circlearrowleft,&olarr;
\circlearrowright,&orarr;
\Rrightarrow,&rAarr;
\twoheadrightarrow,&Rarr;
\rightrightarrows,&rarr2;
\hookrightarrow,&rarrhk;
\looparrowright,&rarrlp;
\rightarrowtail,&rarrtl;
\rightsquigarrow,&rarrw;
\rightharpoondown,&rhard;
\rightharpoonup,&rharu;
\Rsh,&rsh;
\searrow,&drarr;
\swarrow,&dlarr;
\Uparrow,&uArr;
\upuparrows,&uarr2;
\Updownarrow,&vArr;
\updownarrow,&varr;
\upharpoonleft,&uharl;
\upharpoonright,&uharr;
\Longleftarrow,&xlArr;
\Longleftrightarrow,&xhArr;
\longleftrightarrow,&xharr;
\Longrightarrow,&xrArr;
\rceil,&rceil;
\rfloor,&rfloor;
\rightparengtr,&rpargt;
\urcorner,&urcorn;
\lrcorner,&drcorn;
\lceil,&lceil;
\lfloor,&lfloor;
\leftparengtr,&lpargt;
\ulcorner,&ulcorn;
\llcorner,&dlcorn;
\'{a},&aacute;
\'{A},&Aacute;
\^{a},&acirc;
\^{A},&Acirc;
\'{a},&agrave;
\'{A},&Agrave;
\aa,&aring;
\AA,&Aring;
\~{a},&atilde;
\~{A},&Atilde;
"\""{a}",&auml;
"\""{A}",&Auml;
\ae,&aelig;
\AE,&AElig;
\c{c},&ccedil;
\c{C},&Ccedil;
\dh,&eth;
\DH,&ETH;
\'{e},&eacute;
\'{E},&Eacute;
\^{e},&ecirc;
\^{E},&Ecirc;
\'{e},&egrave;
\'{E},&Egrave;
"\""{e}",&euml;
"\""{E}",&Euml;
\'{i},&iacute;
\'{I},&Iacute;
\^{i},&icirc;
\^{I},&Icirc;
\'{i},&igrave;
\'{I},&Igrave;
"\""{i}",&iuml;
"\""{I}",&Iuml;
\~{n},&ntilde;
\~{N},&Ntilde;
\'{o},&oacute;
\'{O},&Oacute;
\^{o},&ocirc;
